报告ID,发布日期,报告名称,官方落地页,官方PDF入口,本地原始PDF,本地页面HTML,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-EU-JRC-JRC100825,2016-01-01,The Innovation Output Indicator 2016: Methodology Update,https://publications.jrc.ec.europa.eu/repository/handle/JRC100825,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC100825/innovation%20output%20indicator%202016%20report%20pubsy_fin.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC100825.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC100825.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC100825.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC100825.md,42,1912186,89418,0,5109bca88098ee7945792974c3255077cddc442f78e30d83533ebc740f5b2e79,创新测量与政策方法；研发投入与创新政策,创新产出测量方法的早期基线,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC103716,2016-01-01,The 2016 EU Industrial R&D Investment Scoreboard,https://publications.jrc.ec.europa.eu/repository/handle/JRC103716,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC103716/jrc103716_sb_report_online_final_18-1-2017.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC103716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC103716.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC103716.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC103716.md,107,11884720,213223,62,ba859166281e4eaf2c8f4c8a1c3e5a0f12ef484dc93b4a542a0e8cdb15d683e5,研发投入与创新政策；产业创新与成果转化,全球企业研发投入和产业结构的年度基线,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC107386,2017-01-01,THE IMPACT OF QUANTUM TECHNOLOGIES ON EU’S FUTURE POLICIES PART 2 Quantum Communications: from science to policies,https://publications.jrc.ec.europa.eu/repository/handle/JRC107386,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC107386/jrc_report_quantumcommunications.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC107386.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC107386.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC107386.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC107386.md,85,1338704,265146,141,72bb1f08e3360ba547d5f2f366058ee69aca2e669e57ec9d99f5d51d646e9fcc,关键与新兴技术；科学体系与科研能力,量子通信从科学研究进入政策议程的早期节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC108520,2017-01-01,The 2017 EU Industrial R&D Investment Scoreboard,https://publications.jrc.ec.europa.eu/repository/handle/JRC108520,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC108520/eu_rd_scoreboard_final_versi%C3%B3n_online_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC108520.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC108520.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC108520.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC108520.md,118,4763686,255859,114,fd6a401753dd76858f7f7b7ec26e470d60b192aa441f74055b3c815dd5cac9b9,研发投入与创新政策；产业创新与成果转化,企业研发投入连续观测节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC113807,2018-01-01,The 2018 EU Industrial R&D Investment Scoreboard,https://publications.jrc.ec.europa.eu/repository/handle/JRC113807,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC113807/eu_rd_scoreboard_2018_online.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC113807.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC113807.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC113807.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC113807.md,104,5180677,235861,158,496764fa6a46e63fb241e8461f7c70802db49984742d3042e6c5c0b25dc4a6e9,研发投入与创新政策；产业创新与成果转化,企业研发投入与全球技术竞争比较节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC113826,2018-01-01,Artificial Intelligence: A European Perspective,https://publications.jrc.ec.europa.eu/repository/handle/JRC113826,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC113826/ai-flagship-report-online.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC113826.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC113826.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC113826.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC113826.md,140,4965020,389399,91,c7963637ed069533a72515a81d8be96e34545bc7f6fcd004176d8228e424cbf7,关键与新兴技术；研发投入与创新政策,欧洲AI能力、应用与政策选择的早期综合判断,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC116516,2019-01-01,China: Challenges and Prospects from an Industrial and Innovation Powerhouse,https://publications.jrc.ec.europa.eu/repository/handle/JRC116516,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC116516/2019-05-15_china-flagship-report_online.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC116516.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC116516.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC116516.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC116516.md,128,13464346,275509,1124,f4d5216342e9c96f90c4ef0ef979cc3516f66f26daa15de279410996fa3d0d66,产业创新与成果转化；国际合作与中国比较,中国由制造大国向产业创新强国转变的直接比较材料,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC118614,2019-01-01,Labor mobility from R&D-intensive multinational companies: Implications for knowledge and technology transfer,https://publications.jrc.ec.europa.eu/repository/handle/JRC118614,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC118614/labor_mobility_from_rd-intensive_multinational_companies_v12nov2019.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC118614.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC118614.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC118614.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC118614.md,27,1056335,65512,0,f8e25286dbd8db864af3ad3dd4d38a3ce68eebe65143eea68a47d0e233d7ab29,科技人才与技能；产业创新与成果转化,研发密集型企业人才流动与知识技术转移机制,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC119974,2020-01-01,AI Watch - National strategies on Artificial Intelligence: A European perspective in 2019,https://publications.jrc.ec.europa.eu/repository/handle/JRC119974,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119974/national_strategies_on_artificial_intelligence_final_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC119974.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC119974.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC119974.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC119974.md,90,2770623,287214,0,637c24862d5aa743baec110e866be8d8a2df94e834d51aaaf49586cd55bfa654,关键与新兴技术；研发投入与创新政策,国家AI战略比较与政策工具节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
C-EU-JRC-JRC121318,2020-01-01,New and Emerging Transport Technologies and Trends in European Research and Innovation Projects,https://publications.jrc.ec.europa.eu/repository/handle/JRC121318,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC121318/netts_report_online_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC121318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC121318.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC121318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC121318.md,94,3238226,299225,20,fcdeffa13750b632a19b02777ced1da677bc234a8c247b91d77cf35d35c723a0,关键与新兴技术；创新测量与政策方法,以项目数据识别新兴技术和技术趋势的方法样本,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23
